date,station_id,time,weather observation
20240103,488250,07:00am,rain showers departed
20240103,488250,01:00pm,rain departed
20240110,488250,07:00pm,intermittent light rain
20240110,488250,10:00pm,continuous light rain
20240110,488250,04:00am,continuous light rain
20240111,488250,07:00am,rain departed
20240111,488250,10:00am,continuous light drizzle
20240111,488250,07:00pm,continuous light rain
20240111,488250,10:00pm,continuous light rain
20240111,488250,01:00am,continuous light rain
20240112,488250,07:00pm,continuous light rain
20240112,488250,10:00pm,continuous light rain
20240112,488250,04:00am,continuous light rain
20240113,488250,10:00am,intermittent light drizzle
20240113,488250,04:00pm,intermittent light drizzle
20240113,488250,10:00pm,drizzle departed
20240114,488250,01:00pm,clouds developing
20240114,488250,10:00am,rain departed
20240114,488250,10:00pm,continuous light drizzle
20240114,488250,01:00am,mist
20240116,488250,07:00am,rain departed
20240116,488250,07:00pm,continuous light rain
20240116,488250,10:00pm,clouds developing
20240117,488250,10:00am,rain departed
20240117,488250,10:00pm,rain departed
20240117,488250,01:00am,clouds developing
20240121,488250,10:00am,continuous light drizzle
20240121,488250,01:00pm,continuous light drizzle
20240121,488250,07:00pm,continuous light rain
20240122,488250,01:00pm,continuous light rain
20240122,488250,04:00pm,clouds developing
20240122,488250,07:00pm,clouds developing
20240123,488250,10:00am,rain departed
20240123,488250,01:00pm,clouds developing
20240126,488250,01:00am,intermittent light rain
20240129,488250,07:00am,clouds developing
20240129,488250,10:00am,clouds developing
20240129,488250,01:00pm,clouds developing
20240130,488250,10:00am,mist
20240202,488250,01:00pm,clouds developing
20240202,488250,01:00am,continuous light rain
20240206,488250,10:00am,intermittent light drizzle
20240206,488250,01:00pm,clouds developing
20240207,488250,07:00am,continuous light drizzle
20240207,488250,10:00am,clouds developing
20240207,488250,01:00pm,clouds developing
20240207,488250,10:00pm,continuous light drizzle
20240207,488250,01:00am,clouds developing
20240212,488250,07:00am,mist
20240212,488250,04:00am,mist
20240215,488250,10:00pm,mist
20240220,488250,07:00pm,intermittent light drizzle
20240220,488250,01:00am,clouds developing
20240221,488250,07:00am,mist
20240222,488250,10:00am,drizzle departed
20240223,488250,10:00pm,continuous light drizzle
20240224,488250,04:00pm,continuous light drizzle
20240224,488250,07:00pm,continuous light drizzle
20240224,488250,04:00am,continuous light drizzle
20240224,488250,01:00am,continuous light rain
20240225,488250,07:00am,clouds developing
20240226,488250,10:00am,continuous light drizzle
20240226,488250,01:00pm,clouds developing
20240226,488250,04:00am,continuous light rain
20240227,488250,07:00am,continuous light drizzle
