date,station_id,time,weather observation
20220102,488200,07:00pm,mist
20220102,488200,10:00pm,mist
20220102,488200,01:00am,mist
20220102,488200,04:00am,mist
20220103,488200,07:00am,mist
20220103,488200,10:00am,mist
20220103,488200,01:00pm,mist
20220103,488200,04:00pm,haze
20220103,488200,07:00pm,mist
20220103,488200,10:00pm,mist
20220103,488200,01:00am,mist
20220103,488200,04:00am,mist
20220104,488200,07:00am,mist
20220104,488200,10:00am,mist
20220104,488200,01:30am,mist
20220104,488200,04:30am,mist
20220105,488200,07:00am,mist
20220105,488200,10:00am,mist
20220105,488200,01:00pm,haze
20220105,488200,04:00pm,mist
20220105,488200,07:00pm,mist
20220105,488200,10:00pm,mist
20220105,488200,01:00am,mist
20220105,488200,04:00am,mist
20220106,488200,07:00am,mist
20220106,488200,10:00am,mist
20220106,488200,04:00am,mist
20220107,488200,07:00am,mist
20220107,488200,10:00am,mist
20220108,488200,07:00am,mist
20220108,488200,07:00pm,mist
20220108,488200,10:00pm,continuous light drizzle
20220108,488200,04:30am,continuous light rain
20220109,488200,10:00pm,continuous light rain
20220109,488200,01:00am,continuous light rain
20220109,488200,04:00am,continuous light drizzle
20220110,488200,07:00am,continuous light drizzle
20220110,488200,10:00am,continuous light drizzle
20220110,488200,01:00pm,continuous light drizzle
20220110,488200,04:30pm,continuous light drizzle
20220110,488200,07:00pm,continuous light drizzle
20220110,488200,10:00pm,continuous light rain
20220112,488200,04:00am,mist
20220114,488200,07:00am,mist
20220114,488200,10:00am,mist
20220114,488200,01:00pm,mist
20220114,488200,04:00pm,mist
20220114,488200,07:00pm,mist
20220114,488200,10:00pm,mist
20220114,488200,01:00am,mist
20220114,488200,04:00am,mist
20220115,488200,07:00am,continuous light drizzle
20220115,488200,10:00am,continuous moderate drizzle
20220115,488200,01:00pm,mist
20220115,488200,04:00pm,mist
20220115,488200,07:00pm,mist
20220115,488200,10:00pm,mist
20220115,488200,01:00am,mist
20220115,488200,04:00am,mist
20220116,488200,07:00am,continuous moderate drizzle
20220116,488200,10:00am,mist
20220116,488200,04:00pm,mist
20220116,488200,07:30pm,continuous light rain
20220116,488200,10:00pm,continuous light rain
20220116,488200,01:00am,continuous light rain
20220116,488200,04:00am,continuous moderate rain
20220117,488200,07:00am,continuous light rain
20220117,488200,10:00am,continuous light rain
20220117,488200,01:00pm,continuous light rain
20220117,488200,04:00pm,continuous light rain
20220118,488200,01:30am,mist
20220118,488200,04:00am,mist
20220119,488200,07:00am,mist
20220119,488200,01:30am,continuous light rain
20220119,488200,04:30am,continuous light rain
20220120,488200,07:00am,continuous light rain
20220120,488200,10:00pm,mist
20220120,488200,01:00am,mist
20220120,488200,04:00am,mist
20220121,488200,07:00am,mist
20220121,488200,10:00am,continuous light drizzle
20220121,488200,01:00pm,mist
20220121,488200,04:00pm,continuous light rain
20220121,488200,07:00pm,continuous light rain
20220121,488200,10:00pm,continuous light rain
20220121,488200,01:00am,mist
20220122,488200,07:00am,continuous light rain
20220122,488200,10:00am,continuous light drizzle
20220122,488200,01:00pm,mist
20220122,488200,04:00pm,mist
20220122,488200,07:30pm,mist
20220122,488200,10:00pm,mist
20220122,488200,01:00am,continuous moderate drizzle
20220122,488200,04:00am,continuous light drizzle
20220123,488200,07:00am,continuous light drizzle
20220123,488200,10:00am,mist
20220123,488200,07:00pm,mist
20220123,488200,10:00pm,mist
20220123,488200,01:00am,mist
20220123,488200,04:00am,mist
20220124,488200,07:00am,mist
20220124,488200,10:00am,mist
20220124,488200,01:30am,mist
20220125,488200,10:00am,continuous light drizzle
20220125,488200,01:00am,mist
20220125,488200,04:00am,continuous light rain
20220126,488200,07:00am,continuous light rain
20220126,488200,10:00am,continuous light rain
20220126,488200,01:00am,mist
20220126,488200,04:00am,continuous light drizzle
20220127,488200,07:00am,mist
20220127,488200,10:00am,mist
20220128,488200,01:00am,mist
20220129,488200,07:00am,mist
20220129,488200,10:30am,continuous light rain
20220129,488200,01:00pm,continuous light rain
20220129,488200,07:30pm,continuous light rain
20220130,488200,07:00pm,continuous moderate drizzle
20220130,488200,04:00am,continuous light rain
20220131,488200,07:00am,continuous light rain
20220205,488200,07:00pm,continuous light rain
20220205,488200,10:00pm,continuous moderate rain
20220205,488200,01:00am,continuous light rain
20220206,488200,07:00am,continuous light rain
20220206,488200,10:00am,continuous light rain
20220206,488200,01:00pm,continuous light rain
20220206,488200,04:00pm,continuous light rain
20220206,488200,10:00pm,continuous light drizzle
20220206,488200,01:00am,mist
20220206,488200,04:00am,mist
20220207,488200,07:00am,continuous moderate drizzle
20220207,488200,10:00am,mist
20220207,488200,10:00pm,continuous moderate drizzle
20220207,488200,01:00am,continuous light drizzle
20220207,488200,04:00am,continuous light drizzle
20220208,488200,10:30am,continuous light drizzle
20220208,488200,01:30pm,continuous light drizzle
20220208,488200,04:00pm,continuous light drizzle
20220208,488200,07:00pm,continuous light drizzle
20220209,488200,07:00am,continuous light drizzle
20220209,488200,07:00pm,continuous light drizzle
20220209,488200,10:30pm,continuous light drizzle
20220209,488200,04:00am,continuous light drizzle
20220210,488200,07:00am,continuous light drizzle
20220210,488200,10:00pm,continuous light drizzle
20220210,488200,01:00am,continuous light drizzle
20220210,488200,04:00am,continuous light drizzle
20220211,488200,07:00am,continuous light drizzle
20220211,488200,10:00am,continuous light drizzle
20220211,488200,04:00pm,mist
20220211,488200,07:00pm,continuous moderate drizzle
20220211,488200,10:00pm,continuous light drizzle
20220211,488200,01:00am,continuous light rain
20220211,488200,04:30am,continuous light drizzle
20220212,488200,10:30am,continuous light drizzle
20220212,488200,01:00pm,continuous light drizzle
20220212,488200,04:00pm,continuous light drizzle
20220212,488200,07:00pm,continuous moderate drizzle
20220212,488200,10:00pm,continuous light rain
20220212,488200,01:00am,continuous light drizzle
20220212,488200,04:00am,continuous light rain
20220213,488200,10:00am,continuous light rain
20220213,488200,04:30pm,continuous light rain
20220215,488200,01:00pm,continuous moderate rain
20220215,488200,10:00pm,continuous light drizzle
20220215,488200,01:00am,continuous light drizzle
20220215,488200,04:00am,continuous light drizzle
20220216,488200,07:00am,continuous moderate drizzle
20220216,488200,10:30am,continuous light drizzle
20220216,488200,01:30pm,mist
20220216,488200,04:30pm,mist
20220216,488200,07:30pm,continuous light drizzle
20220216,488200,10:00pm,continuous light rain
20220216,488200,01:00am,continuous light drizzle
20220216,488200,04:00am,continuous moderate drizzle
20220217,488200,07:00am,continuous light drizzle
20220217,488200,10:00am,mist
20220217,488200,01:00pm,mist
