date,station_id,time,precipitation
20220106,488250,07:00pm,~0.0mm
20220109,488250,07:00am,1.0mm
20220109,488250,07:00pm,0.9mm
20220110,488250,07:00am,0.2mm
20220110,488250,07:00pm,0.3mm
20220111,488250,07:00am,1.0mm
20220113,488250,07:00am,~0.0mm
20220113,488250,07:00pm,0.2mm
20220116,488250,07:00am,0.1mm
20220116,488250,07:00pm,0.1mm
20220117,488250,07:00am,20.0mm
20220117,488250,07:00pm,3.0mm
20220120,488250,07:00am,0.6mm
20220120,488250,07:00pm,2.0mm
20220121,488250,07:00am,~0.0mm
20220121,488250,07:00pm,7.0mm
20220122,488250,07:00am,5.0mm
20220122,488250,07:00pm,~0.0mm
20220123,488250,07:00am,0.2mm
20220126,488250,07:00pm,0.2mm
20220127,488250,07:00am,~0.0mm
20220127,488250,07:00pm,~0.0mm
20220129,488250,07:00am,~0.0mm
20220129,488250,07:00pm,1.0mm
20220130,488250,07:00am,0.2mm
20220130,488250,07:00pm,~0.0mm
20220131,488250,07:00am,1.0mm
20220205,488250,07:00pm,0.8mm
20220206,488250,07:00am,10.0mm
20220206,488250,07:00pm,7.0mm
20220207,488250,07:00pm,0.2mm
20220208,488250,07:00am,1.0mm
20220208,488250,07:00pm,0.3mm
20220209,488250,07:00am,0.9mm
20220210,488250,07:00am,0.5mm
20220210,488250,07:00pm,0.1mm
20220211,488250,07:00am,1.0mm
20220211,488250,07:00pm,0.3mm
20220212,488250,07:00am,3.0mm
20220212,488250,07:00pm,2.0mm
20220213,488250,07:00am,3.0mm
20220213,488250,07:00pm,4.0mm
20220215,488250,07:00pm,~0.0mm
20220216,488250,07:00am,0.7mm
20220216,488250,07:00pm,0.7mm
20220217,488250,07:00am,0.1mm
20220217,488250,07:00pm,~0.0mm
20220218,488250,07:00am,0.6mm
20220218,488250,07:00pm,~0.0mm
20220219,488250,07:00am,14.0mm
20220219,488250,07:00pm,17.0mm
20220220,488250,07:00am,23.0mm
20220220,488250,07:00pm,18.0mm
20220221,488250,07:00am,0.3mm
20220304,488250,07:00pm,~0.0mm
20220305,488250,07:00am,~0.0mm
20220305,488250,07:00pm,0.4mm
20220306,488250,07:00am,0.5mm
20220306,488250,07:00pm,0.3mm
20220307,488250,07:00am,10.0mm
20220307,488250,07:00pm,0.3mm
20220310,488250,07:00am,1.0mm
20220310,488250,07:00pm,~0.0mm
20220311,488250,07:00pm,~0.0mm
20220312,488250,07:00am,~0.0mm
20220316,488250,07:00am,2.0mm
20220316,488250,07:00pm,~0.0mm
20220317,488250,07:00pm,~0.0mm
20220318,488250,07:00am,0.1mm
